features,MIC_1,MIC_2,MIC_3,MIC_4,MIC_5,MIC_sum,MIC
NumHeteroatoms#2,0.2942969105706591,0.2716474902347712,0.2744075061895058,0.2218772859156504,0.27444786693845974,0.26733541196980926,True
NumRotatableBonds#1,0.20395212848491956,0.196793663479931,0.2056859369520281,0.1919294980601772,0.19467421272216381,0.19860708793984394,False
NumRotatableBonds#2,0.33120837922149104,0.3101269616078651,0.3389449926039274,0.26822113656799085,0.30218411057602146,0.3101371161154592,True
MaxPartialCharge#1,0.2942083849022316,0.2964583784988877,0.27776328141639556,0.26620951389630504,0.3161604588104675,0.2901600035048575,True
MaxPartialCharge#2,0.35323028996867456,0.3415867570024455,0.33480152887876397,0.28975715795284696,0.3297792963286967,0.32983100602628557,True
MinPartialCharge#1,0.24192231673413905,0.26361573834857766,0.23010871956905848,0.2412828415211113,0.25384270273053017,0.2461544637806833,True
MinPartialCharge#2,0.2757875769767308,0.2765956944930569,0.2442707929206147,0.22174572886022018,0.2567772477277495,0.2550354081956744,True
BalabanJ#1,0.3042296571158063,0.3394921911476928,0.2884355658603834,0.25833306892484176,0.31972810821861275,0.3020437182534674,True
BalabanJ#2,0.26402113121637055,0.2530224314375572,0.25617100559608863,0.21965902734959164,0.2784181052931712,0.25425834017855586,True
BCUT2D_MWHI#1,0.31152133195126047,0.33195000053750406,0.2890802387158799,0.2580075651687937,0.32023504166137867,0.3021588356069633,True
BCUT2D_MWHI#2,0.3221044819869875,0.3115396391512093,0.32156701101004265,0.27473124867665416,0.31304842741361116,0.308598161647701,True
BCUT2D_MWLOW#1,0.3307665359742529,0.3579947747998729,0.32351776007661526,0.28520441771936506,0.3419120563758516,0.32787910898919154,True
BCUT2D_MWLOW#2,0.3579673480852098,0.3421600813260551,0.33856061708501894,0.2968236106817335,0.33528467647529064,0.33415926673066154,True
BCUT2D_CHGHI#1,0.2631695086920116,0.2704409437014085,0.23937544449004708,0.21646669956227613,0.25276624607638587,0.24844376850442584,True
BCUT2D_CHGHI#2,0.27682524497165467,0.26702856639279354,0.2875403848335754,0.23218756384153458,0.286681249828313,0.27005260197357417,True
BCUT2D_CHGLO#1,0.3146207918142906,0.3521079131446438,0.3095190672584661,0.2697503847558854,0.3204112778223857,0.31328188695913434,True
BCUT2D_CHGLO#2,0.3493775329994503,0.3425208141573209,0.32728805437510883,0.29743277948226315,0.3399783898733349,0.3313195141774956,True
BCUT2D_LOGPHI#1,0.26140381521503314,0.2756735257114241,0.23909876362293783,0.2061606962563236,0.25024372869936723,0.2465161059010172,True
